Rk,School,G,W,L,W%,ConfWins,ConfLosses,HomeWins,HomeLosses,AwayWins,AwayLosses,ORtg,DRtg,NRtg,FG,FGA,FG%,3P,3PA,3P%,eFG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,PtsAgainst,SRS,SOS,Pace
1,Miami (OH),24,24,0,1,11,0,13,0,10,0,126,101,25,32.2,60,0.536,10.8,27,0.398,0.626,17.6,23,0.768,8.4,35.9,17.1,7.9,3.6,11,16.2,92.7,74.3,6.63,-5.95,72.4
2,Akron,24,19,5,0.792,10,1,12,0,5,3,123.9,102.7,21.2,32.9,65.1,0.506,10.9,29.2,0.372,0.589,12.8,16.8,0.762,11.6,37.8,19.3,7.6,3.3,10.9,15.8,89.5,74.2,9.55,-2.18,72.2
3,Kent State,24,17,7,0.708,8,3,11,2,4,5,114.1,106.2,8,28.6,62.6,0.457,9.5,27.6,0.346,0.534,19.3,26.1,0.738,13.5,41,16.6,6.6,3.8,14.1,19.6,86,80,0.34,-1.34,73.5
4,Ohio,25,13,12,0.52,7,5,9,4,3,6,109.3,108.7,0.6,27.8,59.4,0.467,7,22.6,0.307,0.526,15.2,21.8,0.699,10.2,33.9,13.7,6.6,3.5,11.6,17.9,77.7,77.3,-3.52,-0.65,70.8
5,UMass,25,15,10,0.6,6,6,10,3,2,5,110.4,103.8,6.6,28.6,61.6,0.465,7.6,21.7,0.351,0.527,15.7,23.3,0.672,12.5,37.8,17.5,7,2.3,13.1,20.5,80.6,75.8,-1.53,-4.4,71.6
6,Toledo,24,12,12,0.5,6,5,8,4,3,7,114.5,109.6,4.9,29.4,61.7,0.476,6.9,19.9,0.348,0.532,15.3,19.6,0.779,11,34,15.9,7.7,3,10.9,15.1,80.9,77.5,-0.66,-0.94,70.7
7,Bowling Green,24,14,10,0.583,5,6,8,5,4,5,113.9,97.3,16.6,29.5,61.1,0.483,7,20.7,0.338,0.541,17,23,0.739,10.5,35.9,14.8,10.7,3.5,11.9,17.5,83,71,1,-3.53,72.6
8,Buffalo,24,14,10,0.583,4,7,6,6,6,4,116.8,111.5,5.2,26.4,55.3,0.477,9.8,25.3,0.388,0.566,16.6,22.6,0.736,9.3,32.3,15,7.5,2.5,10.9,16.4,79.3,75.8,-2.67,-4.49,67.6
9,Ball State,23,8,15,0.348,3,7,5,4,2,10,101,105.9,-4.9,23.6,56.3,0.418,6.7,22,0.302,0.477,13.1,18.9,0.694,9.7,31.5,12,7.7,2.7,10.7,15.7,66.9,70.1,-12.19,-4.19,66.2
10,Central Michigan,24,7,17,0.292,3,8,6,4,0,12,105.3,112.8,-7.5,27,58.4,0.461,6.4,20,0.32,0.516,13,18.5,0.705,10.2,32.9,15.3,6.2,4.2,12.6,17.7,73.4,78.6,-10.46,-1.77,69.7
11,Eastern Michigan,24,9,15,0.375,3,8,6,4,3,11,102.4,104.8,-2.4,25.9,58.5,0.442,6.2,19,0.325,0.495,12.8,17.7,0.722,10.3,35.8,12.8,6.3,4,11.9,17.9,70.7,72.4,-4.51,-1.11,68.3
12,Northern Illinois,22,8,14,0.364,3,7,6,3,2,11,103.8,108.5,-4.7,24.7,58,0.426,8.6,26.5,0.325,0.5,15.1,22.4,0.673,13,36.2,13,6.5,1.7,15.2,19.5,73,76.4,-11.26,-2.46,70.4
13,Western Michigan,23,8,15,0.348,2,8,7,4,1,11,106.7,113.8,-7.1,26.7,59.8,0.447,7.2,21,0.343,0.507,13.9,19.3,0.721,11.4,36.6,13.1,5.1,2.6,12.8,18.8,74.6,79.6,-9.37,-2.32,70
